,hwd,pronSampa,ipa,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette
0,abacus,{ b @ k @ s,æbəkəs,3,aʹbăcus,,,,n.,2.0,19,abacus
1,abandon,@ b { n d @ n,əbændən,3,ābăʹndon,F.,,,v.,5.0,19,abandon
2,abandoned,@ b { n d @ n d,əbændənd,4,ābăʹndŏned,,,,a.,6.0,19,abandoned
3,abash,@ b { S,əbæʃ,2,ăbăʹſh,F.,,,v.,9.0,19,abash
4,abate,@ b eI t,əb?t,2,ăbāʹte,F.,,,v.,10.0,19,abate
5,abatement,@ b eI t m @ n t,əb?tmənt,3,ăbāʹt_e_ment,F.,,,n.,11.0,19,abatement
6,abbey,{ b i:,æbiː,2,ăʹbbey,,,,n.,13.0,19,abbey
7,abbot,{ b @ t,æbət,2,ăʹbbŏt,,,,n.,14.0,19,abbot
8,abbreviate,@ b r\ i: v i: eI t,əbɹiːviː?t,4,ăbbrĕʹvĭāte,L.,,,v.,15.0,19,abbreviate
9,abbreviation,@ b r\ i: v i: eI S @ n,əbɹiːviː?ʃən,6,ăbbrevĭāʹtion,L.,,,n.,16.0,19,abbreviation
10,abdicate,{ b d @ k eI t,æbdək?t,3,ăʹbdicāte,L.,,,v.,17.0,19,abdicate
11,abdomen,{ b d @U m @ n,æbdoʊmən,3,ăbdōʹmen,,,,n.,18.0,19,abdomen
12,abet,@ b E t,əbɛt,2,ăbĕʹt,,,,v.,19.0,19,abet
13,abeyance,@ b eI @ n s,əb?əns,3,ăbeʹyănce,F.,,,n.,22.0,19,abeyance
14,abhor,{ b h O: r\,æbhOːɹ,2,ăbhŏʹr,L.,,,v.,23.0,19,abhor
15,abhorrence,@ b h O: r\ @ n s,əbhOːɹəns,3,ăbhŏʹrrence,,,,n.,24.0,19,abhorrence
16,abide,@ b aI d,əb?d,2,ābīʹde,,,,v.,25.0,19,abide
17,ability,@ b I l @ 4 i:,əbɪləɾiː,4,abĭʹlĭty,,,,n.,27.0,19,ability
18,abject,{ b dZ E k t,æb?ɛkt,2,ăʹbject,L.,,,a.,26.0,19,abject
19,aboard,@ b O: r\ d,əbOːɹd,2,ăʹboard,,,,p.,36.0,19,aboard
20,abode,@ b @U d,əboʊd,2,ābōʹde,,,,n.,37.0,19,abode
21,abolish,@ b A l i S,əbɑliʃ,3,ăbŏʹlĭſh,L.,,,v.,2.0,20,abolish
22,abominate,@ b A m @ n eI t,əbɑmən?t,4,ăbŏʹmĭnāte,L.,,,v.,3.0,20,abominate
23,abomination,@ b A m @ n eI S @ n,əbɑmən?ʃən,6,ăbŏʹmĭnāʹtion,L.,,,n.,4.0,20,abomination
24,aborigines,{ b 3:r I dZ @ n i: z,æbɜ:rɪ?əniːz,4,ăborīʹgĭnes,L.,,,n.,5.0,20,aborigines
25,abortion,@ b O: r\ S @ n,əbOːɹʃən,4,ăbŏʹrtion,L.,,,n.,6.0,20,abortion
26,abortive,@ b O: r\ 4 i v,əbOːɹɾiv,3,ăbŏʹrtive,,,,a.,7.0,20,abortive
27,abridge,@ b r\ I dZ,əbɹɪ?,2,abrĭʹdge,F.,,,v.,9.0,20,abridge
28,abroad,@ b r\ O: d,əbɹOːd,2,abroaʹd,,,,a.,11.0,20,abroad
29,abrogate,{ b r\ @ g eI t,æbɹəg?t,3,ăʹbrŏgāte,L.,,,v.,12.0,20,abrogate
30,abrupt,@ b r\ V p t,əbɹʌpt,2,ăbrŭpt,L.,nbSyll>1 et pas d'accent tonic,,a.,13.0,20,abrupt
31,abscess,{ b s E s,æbsɛs,2,ăʹbſcĕſs,L.,,,n.,14.0,20,abscess
32,absent,{ b s @ n t,æbsənt,2,ăʹbſĕnt,L.,,,v.,16.0,20,absent
33,absentee,{ b s @ n t i:,æbsəntiː,3,ăbſĕnteeʹ,L.,,,n.,17.0,20,absentee
34,absolute,{ b s @ l u t,æbsəlut,3,ăʹbſŏlūte,L.,,,a.,19.0,20,absolute
35,absolution,{ b s @ l u S @ n,æbsəluʃən,5,ăbſŏlūʹtion,L.,,,n.,20.0,20,absolution
36,absolve,@ b z A l v,əbzɑlv,2,ăbſŏʹlve,L.,,,v.,18.0,20,absolve
37,absorb,@ b z O: r\ b,əbzOːɹb,2,ăbſŏʹrb,L.,,,v.,21.0,20,absorb
38,abstain,@ b s t eI n,əbst?n,2,ăbſtaiʹn,L.,,,v.,23.0,20,abstain
39,abstinence,{ b s t @ n @ n s,æbstənəns,3,ăʹbſtĭnĕnce,L.,,,n.,26.0,20,abstinence
40,abstract,{ b s t r\ { k t,æbstɹækt,2,ăbſtrăʹct,L.,,,v.,27.0,20,abstract
41,abstruse,@ b s t r\ u s,əbstɹus,2,ăbſtrūʹſe,L.,,,a.,28.0,20,abstruse
42,absurd,@ b s 3:r d,əbsɜ:rd,2,ăbſŭʹrd,L.,,,a.,29.0,20,absurd
43,abundance,@ b V n d @ n s,əbʌndəns,3,abŭʹndănce,,,,n.,30.0,20,abundance
44,abuse,@ b j u s,əbjus,2,abūʹſe,L.,,,v.,31.0,20,abuse
45,abyss,@ b I s,əbɪs,2,ăbyʹſs,G.,,,n.,32.0,20,abyss
46,academy,@ k { 4 @ m i:,əkæɾəmiː,4,ăcăʹdĕmy,G.,,,n.,34.0,20,academy
47,accede,{ k s i: d,æksiːd,2,ăccēʹde,L.,,,v.,36.0,20,accede
48,accelerate,{ k s E l 3:r eI t,æksɛlɜ:r?t,4,ăccĕʹlĕrāte,L.,,,v.,37.0,20,accelerate
49,accent,@ k s E n t,əksɛnt,2,ăcʹcĕnt,L.,,,n.,38.0,20,accent
50,accept,{ k s E p t,æksɛpt,2,ăccĕʹpt,L.,,,v.,39.0,20,accept
51,acceptable,{ k s E p t @ b @ l,æksɛptəbəl,4,ăccĕʹptable,,,,a.,40.0,20,acceptable
52,access,{ k s E s,æksɛs,2,ăccĕʹſs,L.,,,n.,42.0,20,access
53,accessible,{ k s E s @ b @ l,æksɛsəbəl,4,ăccĕʹſſĭble,,,,a.,43.0,20,accessible
54,accession,@ k s E S @ n,əksɛʃən,4,ăccĕʹſſion,L.,,,n.,44.0,20,accession
55,accident,{ k s @ d @ n t,æksədənt,3,ăʹccĭdent,L.,,,n.,46.0,20,accident
56,accommodate,@ k A m @ d eI t,əkɑməd?t,4,ăccŏʹmmodāte,L.,,,v.,49.0,20,accommodate
